product_id,product_name,category,subcategory,cost_price
97,Sql For Beginners Plus,Books,Academic,36230.3
98,Table Lamp Lite,Home,Decor,2789.16
99,Wardrobe Organizer Lite,Home,Storage,15373.99
100,Noise Cancelling Headphones Plus,Electronics,Audio,38748.76
101,Wall Clock Plus,Home,Decor,4866.76
102,School Backpack,Clothing,Kids,11230.81
103,Dslr Camera 200D Plus,Electronics,Cameras,38900.82
104,Microwave Oven V2,Home,Appliances,42025.38
105,Non-Stick Pan V2,Home,Kitchen,23210.66
106,Whispers Of Time Lite,Books,Fiction,42540.9
107,Atomic Habits Guide V2,Books,Non-Fiction,15944.34
108,Gaming Laptop Z Lite,Electronics,Laptops,37943.79
109,Whispers Of Time 2026,Books,Fiction,4925.73
110,Noise Cancelling Headphones Plus,Electronics,Audio,16529.95
111,Wall Clock 2026,Home,Decor,16376.68
112,Woolen Sweater Lite,Clothing,Winterwear,34421.51
113,Sports Sneakers 2026,Clothing,Footwear,43881.19
114,Table Lamp Plus,Home,Decor,16515.09
115,Bluetooth Speaker 2026,Electronics,Audio,22553.0
116,Ultrabook Air V2,Electronics,Laptops,36197.87
117,Atomic Habits Guide V2,Books,Non-Fiction,23245.72
118,Mixer Grinder Plus,Home,Kitchen,44578.64
119,Fleece Hoodie Plus,Clothing,Winterwear,22985.67
120,Beyond The Horizon 2026,Books,Fiction,36726.94
121,Office Chair,Home,Furniture,26307.81
122,Budget Phone Lite Lite,Electronics,Mobiles,29535.69
123,Classic Comic Pack V2,Books,Comics,26299.78
124,Denim Jeans 2026,Clothing,Men,17169.93
125,Kids T-Shirt 2026,Clothing,Kids,5033.42
126,Smartphone Pro Max Plus,Electronics,Mobiles,18641.32
127,Summer Dress 2026,Clothing,Women,41431.31
128,Business Notebook V2,Electronics,Laptops,25283.38
129,Beyond The Horizon Lite,Books,Fiction,7875.06
130,Sql For Beginners 2026,Books,Academic,34762.11
131,Sports Sneakers Lite,Clothing,Footwear,11167.96
132,Sql For Beginners V2,Books,Academic,44203.47
133,Fleece Hoodie V2,Clothing,Winterwear,22055.73
134,Whispers Of Time 2026,Books,Fiction,35813.5
135,Leather Sandals,Clothing,Footwear,24488.81
136,Table Lamp V2,Home,Decor,13013.89
137,Bluetooth Keyboard Lite,Electronics,Accessories,33655.25
138,Cotton Kurti 2026,Clothing,Women,25334.17
139,Running Shoes,Clothing,Footwear,26448.28
140,Kids T-Shirt 2026,Clothing,Kids,10553.59
141,Action Camera Go Plus,Electronics,Cameras,4613.57
142,Bluetooth Speaker 2026,Electronics,Audio,7190.71
143,Whispers Of Time V2,Books,Fiction,12996.59
144,Fleece Hoodie,Clothing,Winterwear,4115.88
145,Superhero Chronicles Vol 1 2026,Books,Comics,38279.81
146,Ultrabook Air Lite,Electronics,Laptops,7992.09
147,Gaming Laptop Z Lite,Electronics,Laptops,33729.99
148,Woolen Sweater,Clothing,Winterwear,27164.56
149,Electric Kettle Lite,Home,Kitchen,24493.74
150,The Silent Valley 2026,Books,Fiction,8756.42
